5002;Abejorral
54003;Abrego
5004;Abriaquí
50006;Acacías
27006;Acandí
41006;Acevedo
13006;Achí
41013;Agrado
25001;Agua de Dios
20011;Aguachica
68013;Aguada
17013;Aguadas
85010;Aguazul
20013;Agustín Codazzi
41016;Aipe
25019;Albán
52019;Albán
18029;Albania
68020;Albania
44035;Albania
76020;Alcalá
52022;Aldana
5021;Alejandría
47030;Algarrobo
41020;Algeciras
19022;Almaguer
15022;Almeida
73024;Alpujarra
41026;Altamira
27025;Alto Baudo
13030;Altos del Rosario
73026;Alvarado
5030;Amagá
5031;Amalfi
73030;Ambalema
25035;Anapoima
52036;Ancuyá
76036;Andalucía
5034;Andes
5036;Angelópolis
5038;Angostura
25040;Anolaima
5040;Anorí
17042;Anserma
76041;Ansermanuevo
5044;Anza
73043;Anzoátegui
5045;Apartadó
66045;Apía
25599;Apulo
15047;Aquitania
47053;Aracataca
17050;Aranzazu
68051;Aratoca
81001;Arauca
81065;Arauquita
25053;Arbeláez
52051;Arboleda
54051;Arboledas
5051;Arboletes
15051;Arcabuco
13042;Arenal
76054;Argelia
19050;Argelia
5055;Argelia
47058;Ariguaní
13052;Arjona
5059;Armenia
63001;Armenia
73055;Armero
13062;Arroyohondo
20032;Astrea
73067;Ataco
27050;Atrato
23068;Ayapel
27073;Bagadó
27075;Bahía Solano
27077;Bajo Baudó
19075;Balboa
66075;Balboa
8078;Baranoa
41078;Baraya
52079;Barbacoas
5079;Barbosa
68077;Barbosa
68079;Barichara
50110;Barranca de Upía
68081;Barrancabermeja
44078;Barrancas
13074;Barranco de Loba
94343;Barranco Minas
8001;Barranquilla
20045;Becerril
17088;Belalcázar
52083;Belén
15087;Belén
27086;Belén de Bajirá
18094;Belén de los Andaquies
66088;Belén de Umbría
5088;Bello
5086;Belmira
25086;Beltrán
15090;Berbeo
5091;Betania
15092;Betéitiva
68092;Betulia
5093;Betulia
25095;Bituima
15097;Boavita
54099;Bochalema
11001;Bogotá, D.C.
25099;Bojacá
27099;Bojaya
68101;Bolívar
76100;Bolívar
19100;Bolívar
20060;Bosconia
15104;Boyacá
15106;Briceño
5107;Briceño
68001;Bucaramanga
54109;Bucarasica
76109;Buenaventura
23079;Buenavista
63111;Buenavista
70110;Buenavista
15109;Buenavista
19110;Buenos Aires
52110;Buesaco
76113;Bugalagrande
5113;Buriticá
15114;Busbanzá
68121;Cabrera
25120;Cabrera
50124;Cabuyaro
5120;Cáceres
25123;Cachipay
54128;Cachirá
54125;Cácota
5125;Caicedo
76122;Caicedonia
70124;Caimito
73124;Cajamarca
19130;Cajibío
25126;Cajicá
13140;Calamar
95015;Calamar
63130;Calarca
15131;Caldas
5129;Caldas
19137;Caldono
76001;Cali
68132;California
76126;Calima
19142;Caloto
5134;Campamento
8137;Campo de la Cruz
41132;Campoalegre
15135;Campohermoso
23090;Canalete
8141;Candelaria
76130;Candelaria
13160;Cantagallo
5138;Cañasgordas
25148;Caparrapí
68147;Capitanejo
25151;Caqueza
5142;Caracolí
5145;Caramanta
68152;Carcasí
5147;Carepa
73148;Carmen de Apicalá
25154;Carmen de Carupa
27150;Carmen del Darien
5150;Carolina
13001;Cartagena
18150;Cartagena del Chairá
76147;Cartago
97161;Caruru
73152;Casabianca
50150;Castilla la Nueva
5154;Caucasia
68160;Cepitá
23162;Cereté
15162;Cerinza
68162;Cerrito
47161;Cerro San Antonio
27160;Cértegui
52240;Chachagüí
25168;Chaguaní
70230;Chalán
85015;Chameza
73168;Chaparral
68167;Charalá
68169;Charta
25175;Chía
47170;Chibolo
5172;Chigorodó
68176;Chima
23168;Chimá
20175;Chimichagua
54172;Chinácota
15172;Chinavita
17174;Chinchiná
23182;Chinœ
25178;Chipaque
68179;Chipatá
15176;Chiquinquirá
15232;Chíquiza
20178;Chiriguaná
15180;Chiscas
15183;Chita
54174;Chitagá
15185;Chitaraque
15187;Chivatá
15236;Chivor
25181;Choachí
25183;Chocontá
13188;Cicuco
47189;Ciénaga
23189;Ciénaga de Oro
15189;Ciénega
68190;Cimitarra
63190;Circasia
5190;Cisneros
5101;Ciudad Bolívar
13222;Clemencia
5197;Cocorná
73200;Coello
25200;Cogua
41206;Colombia
52203;Colón
86219;Colón
70204;Coloso
15204;Cómbita
68207;Concepción
5206;Concepción
5209;Concordia
47205;Concordia
27205;Condoto
68209;Confines
52207;Consaca
52210;Contadero
68211;Contratación
54206;Convención
5212;Copacabana
15212;Coper
63212;Córdoba
52215;Córdoba
13212;Córdoba
19212;Corinto
68217;Coromoro
70215;Corozal
15215;Corrales
25214;Cota
23300;Cotorra
15218;Covarachía
70221;Coveñas
73217;Coyaima
81220;Cravo Norte
52224;Cuaspud
15223;Cubará
50223;Cubarral
15224;Cucaita
25224;Cucunubá
54001;Cœcuta
54223;Cucutilla
15226;Cuítiva
50226;Cumaral
99773;Cumaribo
52227;Cumbal
52233;Cumbitara
73226;Cunday
18205;Curillo
68229;Curití
20228;Curumaní
5234;Dabeiba
76233;Dagua
44090;Dibulla
44098;Distracción
73236;Dolores
5237;Don Matías
66170;Dosquebradas
15238;Duitama
54239;Durania
5240;Ebéjico
76243;El çguila
5250;El Bagre
47245;El Banco
76246;El Cairo
50245;El Calvario
27135;El Cantón del San Pablo
54245;El Carmen
27245;El Carmen de Atrato
13244;El Carmen de Bolívar
68235;El Carmen de Chucurí
5148;El Carmen de Viboral
50251;El Castillo
76248;El Cerrito
52250;El Charco
15244;El Cocuy
25245;El Colegio
20238;El Copey
18247;El Doncello
50270;El Dorado
76250;El Dovio
91263;El Encanto
15248;El Espino
68245;El Guacamayo
13248;El Guamo
27250;El Litoral del San Juan
44110;El Molino
20250;El Paso
18256;El Paujil
52254;El Peñol
68250;El Peñón
13268;El Peñón
25258;El Peñón
47258;El Piñon
68255;El Playón
47268;El Retén
95025;El Retorno
70233;El Roble
25260;El Rosal
52256;El Rosario
5697;El Santuario
52258;El Tablón de Gómez
19256;El Tambo
52260;El Tambo
54250;El Tarra
54261;El Zulia
41244;Elías
68264;Encino
68266;Enciso
5264;Entrerrios
5266;Envigado
73268;Espinal
25269;Facatativá
73270;Falan
17272;Filadelfia
63272;Filandia
15272;Firavitoba
73275;Flandes
18001;Florencia
19290;Florencia
15276;Floresta
68271;Florián
76275;Florida
68276;Floridablanca
25279;Fomeque
44279;Fonseca
81300;Fortul
25281;Fosca
52520;Francisco Pizarro
5282;Fredonia
73283;Fresno
5284;Frontino
50287;Fuente de Oro
47288;Fundación
52287;Funes
25286;Funza
25288;Fœquene
25290;Fusagasugá
25293;Gachala
25295;Gachancipá
15293;Gachantivá
25297;Gachetá
68296;Galán
8296;Galapa
70235;Galeras
25299;Gama
20295;Gamarra
68298;Gambita
15296;Gameza
15299;Garagoa
41298;Garzón
63302;Génova
41306;Gigante
76306;Ginebra
5306;Giraldo
25307;Girardot
5308;Girardota
68307;Girón
5310;Gómez Plata
20310;González
54313;Gramalote
5313;Granada
25312;Granada
50313;Granada
68318;Guaca
15317;Guacamayas
76318;Guacarí
19300;Guachené
25317;Guachetá
52317;Guachucal
76111;Guadalajara de Buga
5315;Guadalupe
68320;Guadalupe
41319;Guadalupe
25320;Guaduas
52320;Guaitarilla
52323;Gualmatán
47318;Guamal
50318;Guamal
73319;Guamo
19318;Guapi
68322;Guapotá
70265;Guaranda
5318;Guarne
25322;Guasca
5321;Guatape
25324;Guataquí
25326;Guatavita
15322;Guateque
66318;Guática
68324;Guavatá
25328;Guayabal de Siquima
25335;Guayabetal
15325;Guayatá
68327;Güepsa
15332;Güicán
25339;Gutiérrez
54344;Hacarí
13300;Hatillo de Loba
68344;Hato
85125;Hato Corozal
44378;Hatonuevo
5347;Heliconia
54347;Herrán
